Age,Education,Occupation,Relationship,Race,Sex,Target
39,E - Bachelors,Adm-clerical,Not-in-family,White,Male,<=50K
50,E - Bachelors,Exec-managerial,Husband,White,Male,<=50K
38,B - HS Diploma,Handlers-cleaners,Not-in-family,White,Male,<=50K
53,A - No HS Diploma,Handlers-cleaners,Husband,Black,Male,<=50K
28,E - Bachelors,Prof-specialty,Wife,Black,Female,<=50K
37,F - Graduate Degree,Exec-managerial,Wife,White,Female,<=50K
49,A - No HS Diploma,Other-service,Not-in-family,Black,Female,<=50K
52,B - HS Diploma,Exec-managerial,Husband,White,Male,>50K
31,F - Graduate Degree,Prof-specialty,Not-in-family,White,Female,>50K
42,E - Bachelors,Exec-managerial,Husband,White,Male,>50K
37,C - Some College,Exec-managerial,Husband,Black,Male,>50K
30,E - Bachelors,Prof-specialty,Husband,Asian-Pac-Islander,Male,>50K
23,E - Bachelors,Adm-clerical,Own-child,White,Female,<=50K
32,D - Associates,Sales,Not-in-family,Black,Male,<=50K
40,D - Associates,Craft-repair,Husband,Asian-Pac-Islander,Male,>50K
34,A - No HS Diploma,Transport-moving,Husband,Amer-Indian-Eskimo,Male,<=50K
25,B - HS Diploma,Farming-fishing,Own-child,White,Male,<=50K
32,B - HS Diploma,Machine-op-inspct,Unmarried,White,Male,<=50K
38,A - No HS Diploma,Sales,Husband,White,Male,<=50K
43,F - Graduate Degree,Exec-managerial,Unmarried,White,Female,>50K
40,F - Graduate Degree,Prof-specialty,Husband,White,Male,>50K
54,B - HS Diploma,Other-service,Unmarried,Black,Female,<=50K
35,A - No HS Diploma,Farming-fishing,Husband,Black,Male,<=50K
43,A - No HS Diploma,Transport-moving,Husband,White,Male,<=50K
59,B - HS Diploma,Tech-support,Unmarried,White,Female,<=50K
56,E - Bachelors,Tech-support,Husband,White,Male,>50K
19,B - HS Diploma,Craft-repair,Own-child,White,Male,<=50K
54,C - Some College,?,Husband,Asian-Pac-Islander,Male,>50K
39,B - HS Diploma,Exec-managerial,Not-in-family,White,Male,<=50K
49,B - HS Diploma,Craft-repair,Husband,White,Male,<=50K
23,D - Associates,Protective-serv,Not-in-family,White,Male,<=50K
20,C - Some College,Sales,Own-child,Black,Male,<=50K
45,E - Bachelors,Exec-managerial,Own-child,White,Male,<=50K
30,C - Some College,Adm-clerical,Own-child,White,Male,<=50K
22,C - Some College,Other-service,Husband,Black,Male,<=50K
48,A - No HS Diploma,Machine-op-inspct,Unmarried,White,Male,<=50K
21,C - Some College,Machine-op-inspct,Own-child,White,Male,<=50K
19,B - HS Diploma,Adm-clerical,Wife,White,Female,<=50K
31,C - Some College,Sales,Husband,White,Male,>50K
48,D - Associates,Prof-specialty,Husband,White,Male,<=50K
31,A - No HS Diploma,Machine-op-inspct,Husband,White,Male,<=50K
53,E - Bachelors,Prof-specialty,Husband,White,Male,<=50K
24,E - Bachelors,Tech-support,Husband,White,Male,<=50K
49,B - HS Diploma,Adm-clerical,Unmarried,White,Female,<=50K
25,B - HS Diploma,Handlers-cleaners,Not-in-family,White,Male,<=50K
57,E - Bachelors,Prof-specialty,Husband,Black,Male,>50K
53,B - HS Diploma,Machine-op-inspct,Husband,White,Male,<=50K
44,F - Graduate Degree,Exec-managerial,Unmarried,White,Female,<=50K
41,D - Associates,Craft-repair,Husband,White,Male,<=50K
29,D - Associates,Prof-specialty,Not-in-family,White,Male,<=50K
25,C - Some College,Exec-managerial,Wife,Other,Female,<=50K
18,B - HS Diploma,Other-service,Own-child,White,Female,<=50K
47,F - Graduate Degree,Prof-specialty,Wife,White,Female,>50K
50,E - Bachelors,Exec-managerial,Not-in-family,White,Male,>50K
47,B - HS Diploma,Exec-managerial,Not-in-family,White,Male,<=50K
43,C - Some College,Tech-support,Husband,White,Male,>50K
46,A - No HS Diploma,Machine-op-inspct,Husband,White,Male,<=50K
35,D - Associates,Other-service,Husband,White,Male,<=50K
41,B - HS Diploma,Adm-clerical,Husband,White,Male,<=50K
30,B - HS Diploma,Machine-op-inspct,Husband,White,Male,<=50K
30,E - Bachelors,Sales,Husband,White,Male,<=50K
32,A - No HS Diploma,?,Not-in-family,White,Male,<=50K
48,B - HS Diploma,Transport-moving,Husband,White,Male,<=50K
42,F - Graduate Degree,Prof-specialty,Husband,White,Male,>50K
29,C - Some College,Tech-support,Not-in-family,White,Male,<=50K
36,B - HS Diploma,Craft-repair,Husband,White,Male,<=50K
28,C - Some College,Adm-clerical,Not-in-family,White,Female,<=50K
53,B - HS Diploma,Adm-clerical,Wife,White,Female,>50K
49,C - Some College,Exec-managerial,Husband,White,Male,>50K
25,C - Some College,?,Own-child,White,Male,<=50K
19,C - Some College,Prof-specialty,Own-child,White,Male,<=50K
31,E - Bachelors,Sales,Own-child,Black,Female,<=50K
29,E - Bachelors,Sales,Husband,White,Male,>50K
23,C - Some College,Machine-op-inspct,Not-in-family,White,Male,<=50K
79,C - Some College,Prof-specialty,Other-relative,White,Male,<=50K
27,B - HS Diploma,Other-service,Own-child,White,Male,<=50K
