id,title,genre,desc
48477, Burning Man (2007) , documentary ," Every year during the week of Labor Day Weekend, tens of thousands of people gather in the Black Rock Desert in Nevada for the Burning Man Art Festival. These people make the journey to be a part of an experimental community, which challenges its members to express themselves and rely on themselves to a degree that is not normally encountered in one's day-to-day life. The result of this experiment is Black Rock City, home to the Burning Man Event."
45172, Questioning Faith: Confessions of a Seminarian (2002) , documentary ," When Macky Alston's fellow seminarian, Alan Smith, died of AIDS, Alston had a crisis of faith that caused him to make this documentary. Alston sought out Smith's partner and family and tried to answer the question ""Why does God permit such senseless tragedies"""
423, The Young Doctors (1961) , drama ," Two pathologists -- a veteran department head (Fredric March) whose perspective has been shaped by years of red tape and day-to-day frustrations, and his new assistant (Ben Gazarra), a young, somewhat aggressive man who is more up-to-date but who lacks his colleague's personal touch -- clash in a small hospital's lab. The gulf between their approaches is dramatically illustrated by two critical cases that both are intimately involved in."
9588, Casanova (2015) , drama ," Exiled from his beloved Venice, Giacomo Casanova flees to Paris at the dawn of the Enlightenment in hopes of putting his reputation as a playboy behind him. But old habits die hard, and temptation is everywhere as Casanova finds a wealth of new opportunity and trouble."
38150," ""Front of House"" (2014) ", comedy ," Rob, Hillary and Liam are three friends whose very different lives intersect every day through their mutual love of five star dining and craft beers. A struggling writer, a soft-spoken actor, and a dude slightly too nice to be considered straight in New York City all helping to make sure they don't stab someone with a steak knife or broken martini glass as they chase their respective dreams while paying the bills in tips."
52441," ""Cloud 9"" (2013) ", drama , 26-year-old Ajay Shah's wealthy parents want him to experience life without their support. Ajay interacts with the residents of Cloud 9.
50391, A Hellish Chaos (2017) , documentary ," 100 years of 'revolution' in Russia. 100 years of catastrophe, the consequences of which Russia and the whole world are experiencing to this day. The four empires have disappeared from the map of the world, the channel of history has changed ... Without an objective and balanced assessment of these events, it is impossible to understand today's conflict world order. The picture tells about the causes of the February and October revolutions: the First World War, external and internal conspiracies, which led to the collapse of the monarchy and the entire world order ... The film answers some crucial questions and poses new ones: what kind of future do we want to build, how do we see it, in what historical experience do we seek it? The picture is based on real events, authentic documents, memories and conclusions of the participants in the events ."
43575, The Mystery of Life: An Art Apart - Gustaf Broms (2016) , documentary ," Swedish artist Gustaf Broms has, since the early 1990s, developed a symbolic language in order to help him understand his own being. On an adventurous journey stretching over photography, filmmaking, sculpting, collaging, music making and on to performance art, his artworks and the process become pieces of a puzzle that constitute not only the human being called Gustaf Broms but also human life itself in general. The grand scale of Broms' ambitions signals a willingness to share his highly experimental attitude and its findings with other people. Thus his persona as an artist grows into something more ambitious, yet at the same time more undefined. The multifaceted expressions of his work seem to contain the very same theme, the very same question: where exactly lies ""self"" in the human being? Who exactly are we and which tools do we need to find out?"
36847, A Fight to the Finish: Stories of Polio (2000) , documentary ," Fight to the Finish: Stories of Polio, chronicles the amazing story of America's battle against the last of the deadly childhood plagues, polio. A Fight to the Finish: Stories of Polio weaves together history and personal stories to create a unique documentary portrait of the human spirit."
26139, The Gift of All: A Community of Givers (2008) , documentary ," The Gift of All: A Community of Givers is an exploration of the nature of philanthropy. Our backdrop is the city of Grand Rapids, Michigan. The community's history, from a city in decline during the Great Depression in the 1930s to a place of great importance in the 21st century is a fascinating drama of pivotal moments of decision-making, courageous risk-taking, visionary thinking and just plain hard work all told in the lives and in the words of those who helped to make it happen."
21058, Krayat na pesenta (1971) , drama ," The action took place in the Rhodope Mountains in the early 20th c. Two young people are in love with each other and want to marry. The girl's father, however, objects to their plans and makes every effort to separate the couple. Without any grounds, he accuses the boy of committing a theft, and the young man is forced to become a fugitive and hide in the mountains. The girl is waiting for her lover, but to no avail. When coming back in two years, the boy gets to know that she is dead. He treats the entire village in local pub and then gets back to the mountains - this time to commit suicide."
833, MJC: The Crisis Begins (2012) , documentary ," Cameras roll as eliminated programs, and the instructors and students that made them up, see their last days among the curriculum of a major community college in Northern California. Faculty speak as to question the validity of the cuts and if there could have been another way to save money."
40575, Pizza und Marmelade (2008) , drama ," Florian is a successful up and coming architect. However, when the firm goes bust, his life changes drastically. He has to take a job in a pizza place and move to a cheap and run down area of town. But not all is bad. He also learns that there's more to life than money and a professional career."
39330, Google Me (2007) , documentary ," ""It all started when I Googled my name"" said Killeen of his movie. And who in today's day and age hasn't engaged in just such an activity in a moment of idle ""webbing."" The difference here that the filmmaker actually followed up on his findings by not only contacting his namesakes but also traveling to whatever remote location called for to meet and interview the subjects of his search, even discovering (and verifying through genetic testing) a long-lost cousin. Jim Killeen the filmmaker in Los Angeles found, among others, Jim Killeen the priest in Cobh, Ireland, Jim Killeen the retired cop in New York, Jim Killeen the CEO in Melbourne, Australia and Jim Killeen the sexual swinger in Denver. ""Google Me"" has not only been given the search engine's blessing, but even features Google's VP of Engineering, Douglas Merrill, in an insightful interview voicing his sentiments on the subject. Whether an effort to defeat the innumerable self-imposed social barriers erected since the advent of the Internet or out of sheer and simple curiosity, the result is nevertheless telling and enormously entertaining - as well as a provoking commentary on today's society and how technology has transformed our lives. Due to the premise of the film, Jim Killeen is likely to become a household name. By employing the single yet powerfully intimate common denominator of a person's name, ""Google Me"" succeeds in exploring the philosophical subject of identity itself as well as the underlying human conditions that unite us all."
987, Satyavadi Raja Harishchandra (1917) , drama ," The homage to the upright King Harishchandra who almost sacrifices his kingdom for his love of truth, opens with a tableau showing the king, his wife Taramati and his young son, to whom he is teaching archery. They go on a hunt and the King blunders into an area controlled by the sage Vishwamitra and his disciple Nakshatra. To atone for his mistake, the king is banished. Three furies appear caught in flames whom Harishchandra tries to rescue. They seduce him into renouncing his kingdom. The king endures much hardship before a god appears at the horizon to reassure everyone that it was just a test of the king's integrity."
46025, The Storm (????/III) , western , A ruthless bounty hunter searches for a suspected double murderer who at one time was his best friend and finds himself having to decide on which side of the law he is really on when it turns out his friend has been framed for the killings by the town sheriff.
6186," ""Shalom Al 4: On the Road for Peace"" (2002) ", documentary ," A 4x4 journey through the western desert of Egypt reveals and warms the cold peace between Egypt and Israel. This unknown and mysterious land with only a few records of people who actually have lived here yet unfolds stories of major historic events and human mankind. Driving in the historic footsteps of adventurers, armies, explorers, caravans of slaves and wanderers throughout several hundreds and thousands of years. This passage leads through old villages, beautiful desert oases, oceans of sands, natural springs, lakes and fascinating historic sites. We discover the present culture of the few inhabitants of the oases in the western desert, a culture that hardly changed over the past hundred years. Along the anthropological present stories we will tell the historic, archaeological stories - following the path of this journey."
16783, Sorority Sadists (2000) , drama ," Co-ed KATIE JORDON is having serious problems with her new roommate VANESSA. The girl borrows her clothes without asking, doesn't clean up after herself, and even went so far as to steal her hair brush. When KATIE goes to A.J. KHAN, the president of her sorority, for help, the two girls plot the appropriate disciplinary action against the unrepentant vixen. A college student is having problems with her roommate, who takes her clothes without asking, leaves the room a mess and steals things from her. She complains to the president of her sorority about the girl, and the two of them devise a plan to teach the slovenly co-ed a lesson she won't soon forget."
26008, Ai no onimotsu (1955) , comedy ," Jozaburo Araki is the head of a famous family-owned wholesale pharmaceutical store with a well-established history. At present he is the Minister of Health and Welfare, and is considering submission of a Bill to hold population increase in check, in an attempt to easily deal with Opposition accusations regarding the population problem. However, just when he is in the Diet giving a major policy speech to the Welfare Ministry Committee about decreasing the population, Ranko, his 48-year-old wife, heads to a maternity clinic and discovers that she is pregnant. To make matters worse, he finds out that his eldest son, Jotaro, had been secretly having an affair with his own secretary, Saeko Godai, and it seems that she is also expecting a little 'Burden of Love.' Also, the Araki family's young daughter, Sakura, has become pregnant with her fiancé before their upcoming marriage, and even the retired patron of the family, Jozo, 2 presents yet another possibility of a pregnancy with his much younger mistress. Furthermore, Jozaburo visits Kyoto on an election campaign and is astounded to learn of the existence of his own love-child with his former lover, Some Kaida! As if that's not enough trouble, the Araki family finds that even their maid, Oteru, and their business manager, Yamaguchi, have somehow also ended up with their own 'Burden of Love.' And that is how the population explosion in the household of the Minister of Health and Welfare somehow becomes a factor in the future of Japan..."
26586, ...But Don't Call Me a Bastard (2016) , documentary ," '... but don't call me a BASTARD' is a documentary film, based on human rights violation and social injustice in 162 India-Bangladesh enclaves for more than 6 decades. And around 51,000 enclave dwellers in both the country India and Bangladesh were struggling over their national identity crisis under the leadership of Diptiman Sengupta, Asst. Secretary of Bharat-Bangladesh Enclave Exchange Co-ordination Committee and they also spread their problem with the help of local journalists from both the country. Though he is Indian, Diptiman Sengupta was fighting for the rights of these enclave dwellers to fulfill his father's dream after his sudden demise in 2009 who was, actually, the founder of this organisation. And at last, these deprived people got official freedom at midnight on 31st July in 2015 and the world will lose the concept of third-order enclave."
43350, The Wrong Man? Henry 'Fred' Chichester (2003) , documentary ," No motive, no confession, and no witnesses... yet despite a lack of physical evidence and sloppy detective work, Henry Chichester III was sentenced to life in prison for the brutal murder of his neighbor, 30-year old Maryann Meola. Now, new DNA testing may prove, once and for all, whether or not an innocent man is behind bars for a crime he says he did not commit."
13943, Bar Stewards (2016) , comedy ," Layton's life falls apart when his girlfriend Karen leaves him. After starting a job in a local bar he receives phone messages from a stalker offering life advice. Then at a local suicide spot he meets Racheal, a troubled young girl who sends his life into more turmoil. His best friend Jamie tries to help, but hinders them both with his own desperate sex life."
22550, Doghat Tisra Aata Sagala Visara (2008) , comedy ," sameer marries his boss's daughter (harshada) and moved to their new apartment, hoping for happy and perfect life of just two of them. but their hop completely breakdown when sameer's childhhod fried Damya enters their life. he make their life like a hell because of his village attitude. Harshada hates Damya first. she understand the sweet side of damya later.That leads misunderstanding between sameer and harshada."
8803," ""Poser"" (2016) ", comedy , Set in Dallas in the late 90's. Troy is on a mission to find his soulmate and embrace true love. He is afraid Y2k may end the world so he has 1 year to find love and a group of idiot friends trying at all costs to stop him. He has spent his life lying to women to make himself seem more intriguing. Little does he know that he is about to find his match who will turn his world upside down.
14268, Zemnoe prityazhenie (1981) , drama ," About the relationship between the members of the Ordyntsev family. The drama of Mr. Ordyntsev is caused by his sinful past. He is formally not guilty. But his past betrayals are coming to the light, and causing problems with his family. His wife wants to forgive him, but his children are undecided."
3721, Macbeth (1961) , drama ," The Scottish lord Macbeth, chooses evil as the way to fulfill his ambition for power. He commits regicide to become king and then furthers his moral descent with a reign of murderous terror to stay in power, eventually plunging the country into civil war. In the end, he loses everything that gives meaning and purpose to his life before losing his life itself."
26174," ""Sammi"" (2017) ", drama ," The story is if Sammi, who is engaged by her brother Waqas' friend Parvez, but he is killed by Waqas on the issue of 'Haq Mahr' and thus Sammi is first made 'wani' of Fazaluddin (Parvez's father) but then made Rab Nawaz's son Shahzeb's wani. Shahzeb's mother Nazo don't want this so she escaped Sammi with the help of Rashid, the servant and half-brother of Rab Nawaz. Rashid sends her into his girlfriend Chandi's home where her son Salar starts liking her and finally marries her when her mother refuses to marry him with a girl of Rahim Yar Khan. Waqas is in search of Sammi to kill her because she is unusable and their parents agree. Salar is kidnapped and so Waqas leaves Salar and Salar dies in an accident. The second storyline is of Rashid and his wife Salima, having 5 children who all are daughters for which his mother Zarina, who had also breed Rab Nawaz, says him to remarry Chandi but he refuses to marry her. Salima expects again but due to miscourage, her 6th daughter is dead. Zarina thinks to marry Rashid with the doctor Naheed, who checks B.P of Salima. The third storyline is of Naheed and how her struggles turn into vain when she is treated strictly by her brother and sister in law (Bina Chaudhry). She comes in love of Ghulam Rasool and they both marry each other and her nephew Aliyan (Bilal Khan) supports her in every decision."
39187, Scarlet Poppy (????) , drama ," Nic, a private U.S. contractor, has spent years working in Afghanistan and has become increasingly jaded by the violence, hypocrisy and futility he has witnessed. Divorced, alone, and with little more than a tenuous long-distance correspondence with his daughter, Nic is a man without a home, doing work that has lost all meaning for him. Shakeila, an Afghan widow, mother of two, and a doctor, lives in the conservative Pashtun heartland and runs a clinic. She finds herself caught up in a Taliban-controlled culture so repressive that it is increasingly making her life and aspirations impossible. One day, Nic and Shakeila accidentally gaze into each other's the eyes at a check point. Shakeila is quickly covered with a burkha and Nic is left with the image of the only part of her body he can see - her scarlet painted toes. Later they meet again and what passes unspoken between Nic and Shakeila cannot be denied by either. A latent jealousy from a local drug lord leads to a love triangle and an almost inevitable conclusion."
48636, NEMR: No Bombing in Beirut (2017) , comedy ," In this special filmed in both Lebanon and America, Nemr puts together an hour of uproarious comedy capturing thousands of people from the Middle East and America laughing at the same jokes, told by the same man. From his childhood in America, to his later years in Lebanon, Nemr recounts his life and touches on childhood, family, relationships, religion, war and the power of perspective."
29168, Berlin: Die Sinfonie der Grosstadt (1927) , documentary ," A train speeds through the country on its way to Berlin, then gradually slows down as it pulls into the station. It is very early in the morning, about 5:00 AM, and the great city is mostly quiet. But before long there are some signs of activity, and a few early risers are to be seen on the streets. Soon the new day is well underway - it's just a typical day in Berlin, but a day full of life and energy."
